Date,Open,High,Low,Close,TickVolume,EMA12,EMA26,SMA20,SMA200
2022-09-27,29298.5,29672.25,28962.87,29196.35,762713,30356.57,31100.43,30982.25,33228.35
2022-09-28,29214.05,29834.2,28831.95,29692.35,949658,30254.38,30996.13,30888.95,33201.59
2022-09-29,29719.8,29736.2,29002.75,29256.35,752839,30100.84,30867.26,30768.95,33170.2
2022-09-30,29236.8,29506.25,28721.2,28780.9,647916,29897.77,30712.71,30638.73,33135.24
2022-10-03,28754.8,29669.75,28606.2,29525.35,575331,29840.48,30624.76,30543.36,33102.95
2022-10-04,29557.2,30365.85,29469.2,30314.35,546905,29913.38,30601.77,30501.06,33073.02
2022-10-05,30284.2,30469.75,29895.75,30289.35,513544,29971.22,30578.63,30436.56,33042.39
2022-10-06,30277.8,30440.2,29853.75,29921.2,550975,29963.53,30529.93,30342.41,33009.42
2022-10-07,29883.8,30057.6,29139.2,29298.9,522950,29861.28,30438.74,30199.73,32973.79
2022-10-10,29219.1,29499.75,29016.1,29238.2,537213,29765.42,30349.81,30039.27,32937.53
2022-10-11,29252.2,29634.75,28916.2,29293.2,632604,29692.77,30271.54,29945.07,32901.16
2022-10-12,29290.1,29499.2,29149.75,29271.2,627753,29627.91,30197.44,29848.01,32863.49
2022-10-13,29303.8,30188.75,28645.25,30061.35,619353,29694.59,30187.36,29804.11,32831.55
2022-10-14,30081.6,30455.75,29624.75,29664.9,673375,29690.03,30148.66,29740.66,32798.4
2022-10-17,29668.6,30344.75,29652.35,30289.7,571755,29782.28,30159.11,29701.43,32768.63
2022-10-18,30363.8,30864.75,30314.75,30684.35,626304,29921.06,30198.02,29697.43,32741.75
2022-10-19,30688.5,30801.2,30235.5,30520.35,617859,30013.26,30221.89,29714.98,32713.11
2022-10-20,30481.8,30839.75,30267.2,30392.35,633335,30071.58,30234.52,29729.02,32683.55
2022-10-21,30379.35,31172.9,30083.75,31164.4,414042,30239.71,30303.4,29806.69,32658.75
2022-10-24,31195.35,31630.75,30906.5,31504.2,473942,30434.25,30392.35,29917.97,32636.39
2022-10-25,31503.35,31909.2,31336.75,31875.7,405196,30656.01,30502.23,30051.93,32615.96
2022-10-26,31795.35,32204.75,31739.2,31987.35,428481,30860.83,30612.23,30166.68,32598.78
2022-10-27,31941.35,32419.2,31869.1,32040.35,438778,31042.29,30718.02,30305.88,32583.71
2022-10-28,32042.35,33000.2,31884.35,32989.9,409876,31341.93,30886.31,30516.33,32575.46
2022-10-31,32898.2,32917.2,32623.75,32772.2,377568,31561.97,31026,30678.68,32568.21
2022-11-01,32783.35,33032.35,32517.3,32660.7,392936,31731,31147.09,30795.99,32559.33
2022-11-02,32665.35,33115.3,32127.2,32191.35,373971,31801.83,31224.44,30891.09,32550.01
2022-11-03,32184.35,32281.75,31744.75,32012.2,404432,31834.19,31282.8,30995.64,32539.34
2022-11-04,31985.35,32637.3,31936.2,32382.9,418200,31918.61,31364.29,31149.84,32529.58
2022-11-07,32135.35,32916.2,32135.35,32828.2,401636,32058.55,31472.72,31329.34,32520.29
2022-11-08,32840.35,33387.75,32785.15,33160.2,353886,32228.03,31597.72,31522.69,32510.95
2022-11-09,33138.7,33233.7,32495.7,32547.2,420100,32277.13,31668.05,31686.49,32496.92
2022-11-10,32553.85,33809.35,32528,33801.2,390022,32511.61,31826.07,31873.49,32487.51
2022-11-11,33795.85,33993.25,33421.25,33782.4,412253,32707.11,31970.98,32079.36,32480.05
2022-11-14,33673.85,34002.25,33568.7,33643.7,345594,32851.2,32094.88,32247.06,32472.94
2022-11-15,33637.85,34041.6,33347.25,33595.2,398955,32965.66,32206.02,32392.6,32465.23
2022-11-16,33561.85,33740.25,33477.7,33626.85,384224,33067.38,32311.27,32547.93,32455.82
2022-11-17,33651.7,33723.25,33181.25,33572.7,359579,33145.13,32404.7,32706.95,32444.47
2022-11-18,33575.85,33852.8,33463.7,33759.9,344809,33239.71,32505.09,32836.72,32437.08
2022-11-21,33779.85,33895.7,33584.25,33728.7,340105,33314.94,32595.73,32947.95,32431.61
2022-11-22,33726.85,34137.7,33660.25,34132.85,312691,33440.77,32709.59,33060.8,32429.42
2022-11-23,34138.85,34277.7,34019.25,34257.85,299406,33566.47,32824.27,33174.33,32425.92
2022-11-24,34258.85,34309.75,34230.25,34273.25,123332,33675.21,32931.61,33285.97,32422.69
2022-11-25,34281.1,34403.25,34215.75,34369.25,187945,33781.98,33038.1,33354.94,32422.94
2022-11-28,34304.85,34338.7,33823.7,33875.85,315414,33796.43,33100.15,33410.12,32421.9
2022-11-29,33885.85,33998.25,33687.25,33882.7,328740,33809.7,33158.12,33471.22,32422.48
2022-11-30,33837.85,34628.35,33602.25,34599.2,349922,33931.16,33264.87,33591.62,32427.17
2022-12-01,34610.85,34694.25,34144.25,34391.85,363849,34002.04,33348.35,33710.6,32433.59
2022-12-02,34385.35,34502.2,33912.75,34369.4,333171,34058.55,33423.98,33809.92,32439.92
2022-12-05,34443.35,34444.2,33869.2,33990.7,320994,34048.11,33465.96,33868.05,32439.6
2022-12-06,33991.35,34070.2,33442.2,33625.7,333419,33983.13,33477.79,33891.32,32438.28
2022-12-07,33619.35,33802.2,33459.75,33613.2,342140,33926.22,33487.82,33944.62,32439.52
2022-12-08,33613.35,33920.2,33474.2,33785.2,333863,33904.52,33509.85,33943.82,32439.28
2022-12-09,33788.35,33954.25,33483.2,33491.4,270188,33840.96,33508.48,33929.27,32437.61
2022-12-12,33501.35,34052.2,33445.2,34008.2,293243,33866.69,33545.5,33947.5,32439.83
2022-12-13,34027.35,34949.35,33939.75,34150.35,356940,33910.33,33590.3,33975.26,32446.92
2022-12-14,34153.35,34449.2,33738.2,34075.35,316479,33935.72,33626.23,33997.68,32454.49
2022-12-15,34056.35,34117.2,33019.2,33175.35,340267,33818.74,33592.83,33977.81,32453.99
2022-12-16,33184.35,33279.85,32655.2,32866.4,337577,33672.23,33539.02,33933.14,32452.38
2022-12-19,32895.35,33079.15,32589.65,32743.2,313106,33529.3,33480.07,33883.86,32451.29
2022-12-20,32754.35,33009.75,32490.2,32924.35,384753,33436.23,33438.91,33823.44,32450.95
2022-12-21,32969.7,33458.75,32958.2,33440.2,320591,33436.84,33439.01,33782.56,32450.61
2022-12-22,33450.35,33479.2,32570.75,33014.35,315155,33371.84,33407.55,33719.61,32444.95
2022-12-23,33026.35,33232.75,32809.2,33176.9,318820,33341.85,33390.46,33659.99,32439.12
2022-12-27,33305.35,33451.75,33082.3,33264.2,283274,33329.9,33381.11,33629.41,32431.39
2022-12-28,33268.35,33407.3,32870.2,32911.2,300793,33265.49,33346.3,33580.84,32422.85
2022-12-29,32925.7,33313.3,32847.2,33207.35,273166,33256.54,33336.01,33511.24,32414.71
2022-12-30,33207.35,33220.2,32843.75,33167.9,275778,33242.91,33323.56,33450.05,32408.72
2023-01-03,33415.35,33510.75,32851.75,33114.35,381032,33223.13,33308.06,33387.29,32400.51
2023-01-04,33103.35,33431.7,33040.75,33254.35,336811,33227.93,33304.08,33350.48,32392.42
2023-01-05,33245.35,33327.85,32806.75,32951.35,320316,33185.38,33277.95,33316.76,32382.31
2023-01-06,32952.35,33732.75,32905.75,33635.9,314174,33254.69,33304.47,33317.89,32374.04
2023-01-09,33699.35,33954.2,33507.75,33539.35,298266,33298.49,33321.87,33305.6,32365.44
2023-01-10,33556.7,33749.2,33369.75,33728.35,310433,33364.62,33351.98,33317.45,32360
2023-01-11,33731.35,34008.2,33712.2,34008.2,265378,33463.63,33400.59,33317.45,32355.93
2023-01-12,34006.35,34307.75,33733.6,34190.7,310481,33575.49,33459.11,33319.47,32352.21
2023-01-13,34197.35,34351.2,33889.25,34317.4,301656,33689.63,33522.69,33331.57,32350.31
2023-01-16,34338.35,34388.2,34203.75,34276.75,86058,33779.95,33578.55,33386.64,32349.35
2023-01-17,34296.35,34331.2,33871.2,33902.7,304815,33798.84,33602.56,33438.45,32345.94
2023-01-18,33896.35,34032.5,33269.2,33275.7,324098,33718.36,33578.35,33465.08,32338.63
2023-01-19,33254.35,33284.2,32946.6,33051.2,321386,33615.72,33539.3,33471.42,32332.21
2023-01-20,33077.35,33379.2,32931.75,33366.9,284124,33577.44,33526.53,33467.76,32327.72
2023-01-23,33385.35,33796.75,33316.75,33647.35,276901,33588.19,33535.48,33499.41,32323.12
2023-01-24,33654.2,33824.2,33391.2,33764.35,276097,33615.29,33552.43,33528.78,32319.48
2023-01-25,33773.35,33789.2,33270.75,33719.35,304439,33631.3,33564.8,33551.54,32315.52
2023-01-26,33736.35,33970.2,33626.75,33929.35,289992,33677.16,33591.8,33602.44,32310.72
2023-01-27,33919.35,34171.2,33830.75,33981.4,248024,33723.96,33620.66,33641.15,32304.34
2023-01-30,33906.35,34068.75,33706.2,33748.35,291067,33727.71,33630.12,33670.17,32299.18
2023-01-31,33760.35,34114.2,33531.25,34079.35,272308,33781.81,33663.39,33718.42,32301.01
2023-02-01,34085.35,34360.2,33578.5,34063.35,280649,33825.13,33693.02,33758.87,32300.9
2023-02-02,34074.35,34169.75,33816.75,33972.35,326732,33847.78,33713.71,33809.92,32304.67
2023-02-03,33994.35,34188.75,33783.35,33909.4,331399,33857.26,33728.21,33823.59,32307.09
2023-02-06,33864.35,33982.75,33655.25,33886.2,309106,33861.71,33739.91,33840.94,32307.12
2023-02-07,33902.2,34261.2,33636.75,34121.2,302250,33901.63,33768.15,33860.58,32312.35
2023-02-08,34136.35,34194.2,33901.2,34027.2,298550,33920.95,33787.34,33861.53,32317.25
2023-02-09,34001.05,34265.75,33604.2,33729.05,299119,33891.43,33783.02,33838.45,32320.08
2023-02-10,33737.05,33904.2,33520.7,33873.9,325635,33888.73,33789.76,33816.27,32319.4
2023-02-13,33924.05,34281.2,33751.2,34264.7,263873,33946.57,33824.94,33815.67,32325.52
2023-02-14,34255.05,34532.5,33828.75,34075.05,314946,33966.34,33843.46,33824.29,32331.68
2023-02-15,34068.05,34159.2,33841.3,34141.05,292971,33993.22,33865.51,33867.55,32341.01
2023-02-16,34125.05,34198.7,33677.2,33688.05,295027,33946.27,33852.36,33899.4,32348.7
2023-02-17,33689.05,33853.2,33476.7,33827.4,307483,33927.98,33850.51,33922.42,32358.24
2023-02-20,33802.05,33853.7,33716.75,33760.75,76202,33902.25,33843.86,33928.09,32368.92
2023-02-21,33748.05,33772.2,33123.75,33163.05,285625,33788.53,33793.43,33898.03,32373.9
2023-02-22,33170.05,33265.75,32964.2,33093.05,291174,33681.53,33741.55,33866.71,32378.34
2023-02-23,33087.05,33279.75,32808.3,33136.05,275544,33597.61,33696.7,33827.05,32380.53
2023-02-24,33141.05,33194.2,32647.8,32806.4,288155,33475.89,33630.75,33768.3,32387.38
2023-02-27,32810.05,33215.75,32797.7,32946.7,276161,33394.47,33580.08,33728.21,32395.85
2023-02-28,32940.05,33027.1,32607.2,32652.7,275719,33280.35,33511.39,33656.88,32402.68
2023-03-01,32633.05,32849.2,32514.75,32843.05,314243,33213.08,33461.88,33595.87,32407.32
2023-03-02,32830.05,33094.2,32629.7,32997.05,323941,33179.84,33427.45,33547.1,32412.39
2023-03-03,32996.05,33421.2,32946.7,33408.4,256208,33215,33426.04,33522.05,32418.89
2023-03-06,33393.05,33591.2,33359.2,33464.05,275250,33253.32,33428.85,33500.94,32423.26
2023-03-07,33459.05,33525.2,32848.2,32881.7,283700,33196.15,33388.32,33438.97,32421.26
2023-03-08,32869.05,32936.7,32623.75,32830.7,298432,33139.92,33347.02,33379.14,32418.88
2023-03-09,32824.05,32997.75,32186.2,32257.05,302727,33004.1,33266.28,33305.54,32414.85
2023-03-10,32235.05,32432.75,31784.75,32016.9,353634,32852.22,33173.73,33212.69,32410.97
2023-03-13,32068.05,32348.2,31507.7,31894.05,393958,32704.81,33078.94,33094.16,32404.04
2023-03-14,31895.05,32313.75,31801.2,32150.05,383332,32619.46,33010.14,32997.91,32400.17
2023-03-15,32143.05,32208.2,31417.75,31855.05,399180,32501.86,32924.57,32883.61,32394.82
2023-03-16,31840.05,32288.2,31559.75,32266.05,390564,32465.58,32875.79,32812.51,32390.54
2023-03-17,32229.05,32345.7,31721.5,31828.9,358083,32367.63,32798.25,32712.59,32385.04
2023-03-20,31965.05,32291.75,31439.7,32260.05,391960,32351.08,32758.38,32637.55,32384.68
2023-03-21,32260.05,32617.2,32227.2,32573.05,270836,32385.23,32744.65,32608.05,32390.3
2023-03-22,32563.05,32786.5,32023.2,32086.7,271091,32339.3,32695.91,32557.73,32397.98
2023-03-23,32090.05,32523.75,31856.75,32180.05,308884,32314.8,32657.7,32509.93,32406.86
2023-03-24,32194.05,32285.9,31745.7,32282.4,328558,32309.82,32629.9,32483.73,32414.72
2023-03-27,32285.05,32579.75,32232.7,32498.05,276692,32338.78,32620.14,32461.3,32427.15
2023-03-28,32488.05,32598.2,32305.75,32432.05,246632,32353.13,32606.2,32450.27,32439.47
2023-03-29,32448.05,32755.75,32440.2,32727.05,229095,32410.65,32615.15,32444.47,32452.19
2023-03-30,32730.05,32953.7,32694.2,32883.7,254114,32483.43,32635.05,32438.8,32463.75
2023-03-31,32866.05,33383.2,32838.2,33357.9,246809,32617.96,32688.59,32436.28,32478.01
2023-04-03,33320.05,33669.3,33290.2,33617.05,257085,32771.67,32757.37,32443.93,32493.11
2023-04-04,33610.05,33722.2,33300.75,33467.7,263999,32878.75,32809.98,32473.23,32502.86
2023-04-05,33468.05,33556.3,33341.2,33478.7,259780,32971.05,32859.52,32505.63,32512.75
2023-04-06,33469.05,33553.2,33329.75,33476.05,241118,33048.74,32905.19,32566.58,32525.12
2023-04-07,33465.05,33616.7,33419.7,33564.7,34560,33128.12,32954.04,32643.97,32537.62
2023-04-10,33557.05,33639.2,33364.75,33626.7,196488,33204.83,33003.87,32730.6,32551.99
2023-04-11,33619.05,33814.3,33591.2,33732.05,230149,33285.94,33057.81,32809.7,32565.16
2023-04-12,33721.05,33984.7,33624.75,33647.05,359363,33341.49,33101.45,32899.3,32578.3
2023-04-13,33654.05,34082.75,33614.2,34037.05,312283,33448.5,33170.76,32987.85,32593.64
2023-04-14,33981.7,34132.5,33747.75,33965.4,289066,33528.02,33229.62,33094.67,32607.96
2023-04-17,33993.05,34030.2,33824.75,34008.7,242056,33601.97,33287.33,33182.11,32621.18
2023-04-18,34007.05,34163.7,33813.75,33994.05,234072,33662.29,33339.68,33253.16,32634.18
2023-04-19,33984.05,33999.2,33835.2,33912.05,219821,33700.72,33382.08,33344.42,32647.64
2023-04-20,33903.05,33924.2,33695.75,33794.05,236897,33715.08,33412.59,33425.12,32661.55
2023-04-21,33785.05,33881.75,33699.75,33813.4,244763,33730.2,33442.28,33501.67,32676.85
2023-04-24,33806.05,33922.75,33674.7,33896.05,224528,33755.72,33475.9,33571.57,32693.06
2023-04-25,33909.05,33909.05,33548.75,33629.05,265144,33736.23,33487.24,33631.42,32704.74
2023-04-26,33632.05,33672.75,33257.2,33352.05,299042,33677.13,33477.23,33662.67,32715.98
2023-04-27,33353.05,33880.75,33335.2,33810.05,249249,33697.58,33501.88,33708.99,32725.76
2023-04-28,33805.05,34147.2,33670.2,34121.4,281036,33762.78,33547.77,33747.17,32737.18
2023-05-01,34140.05,34289.75,34032.2,34039.05,207330,33805.28,33584.16,33768.27,32747.25
2023-05-02,34046.05,34114.7,33449.75,33676.7,261417,33785.5,33591.02,33778.72,32756.17
2023-05-03,33679.05,33834.5,33335.2,33342.05,260535,33717.28,33572.57,33771.88,32763.35
2023-05-04,33299.05,33493.2,32941.75,33113.05,318617,33624.32,33538.54,33753.73,32769.86
2023-05-05,33119.05,33763.75,33119.05,33674.9,245485,33632.1,33548.64,33759.24,32777.26
2023-05-08,33694.05,33802.2,33522.75,33636.05,212396,33632.71,33555.11,33759.71,32782.38
2023-05-09,33624.05,33676.75,33488.2,33595.05,211007,33626.91,33558.07,33752.86,32786.07
2023-05-10,33584.05,33807.7,33251.75,33532.05,268285,33612.32,33556.14,33747.11,32789.56
